variable,value,WL,Glob_dif,Dir_dif,Difu_dif
AOD,0.11,360,5.053237352264499,39.77489733352285,-25.60516900815506
AOD,0.21000000000000002,320,2.0404440472394034,24.532034156728006,-11.114479429310988
AOD,0.21000000000000002,330,2.161508037422184,24.53206728403,-12.240889927373308
AOD,0.21000000000000002,340,2.29556528483028,24.532077245768857,-13.79618163108711
AOD,0.21000000000000002,350,2.322420685366489,24.532092465464014,-15.478804071959964
AOD,0.21000000000000002,360,2.361876770262954,24.532079257991825,-17.213881810960622
AOD,0.31000000000000005,320,-0.8057509865602039,10.951489800544977,-7.682348065594493
AOD,0.31000000000000005,330,-0.6001482383796324,10.951524165515812,-8.037234691418387
AOD,0.31000000000000005,340,-0.3960640771734368,10.951504411977432,-8.607895929662275
AOD,0.31000000000000005,350,-0.3468131321694248,10.95149859596172,-9.402497900596762
AOD,0.31000000000000005,360,-0.2874553529151227,10.951508153372009,-10.211203087335825
AOD,0.41000000000000003,320,-3.612805138118435,-1.1480999097629352,-5.054366562341233
AOD,0.41000000000000003,330,-3.3293453166898597,-1.148063223388443,-4.733677342317366
AOD,0.41000000000000003,340,-3.0638105597248164,-1.1480543902791835,-4.4501751847893285
AOD,0.41000000000000003,350,-2.9974645879966237,-1.1480639553764216,-4.479799536833764
AOD,0.41000000000000003,360,-2.9233258468238734,-1.1480452964803238,-4.490877946387215
AOD,0.51,320,-6.364707719644987,-11.928139294017239,-3.110783407837868
AOD,0.51,330,-6.009627349709552,-11.928134654325564,-2.1992309881811662
AOD,0.51,340,-5.688665030545189,-11.928142629827851,-1.1733769367418998
AOD,0.51,350,-5.60860331656263,-11.928125154803611,-0.5434573875638516
AOD,0.51,360,-5.523037778392875,-11.928143619295486,0.1324624656931225
AOD,0.6100000000000001,320,-9.055585958364349,-21.53262536506003,-1.7579501120297978
AOD,0.6100000000000001,330,-8.634538697788887,-21.532607213800638,-0.3306532633414203
AOD,0.6100000000000001,340,-8.263111898198508,-21.532619702010695,1.3395591017055826
AOD,0.6100000000000001,350,-8.171874457564293,-21.532601759184043,2.5368524417954004
AOD,0.6100000000000001,360,-8.077447153321954,-21.532629761163967,3.803119462820852
AOD,0.7100000000000001,320,-11.68609603000561,-30.08970364015416,-0.9221854364898322
AOD,0.7100000000000001,330,-11.2045771088448,-30.08968533878861,0.9538513567792378
AOD,0.7100000000000001,340,-10.787257443775795,-30.089686098654703,3.181223875378555
AOD,0.7100000000000001,350,-10.68709074689137,-30.089675194935168,4.864257620911616
AOD,0.7100000000000001,360,-10.58596698196272,-30.08968556226848,6.635330561765629
AOD,0.81,320,-14.255089627042844,-37.71361512782102,-0.5345919634932056
AOD,0.81,330,-13.71817392277547,-37.7135938295501,1.730326180419266
AOD,0.81,340,-13.25938598680779,-37.71361926804571,4.4372469974677475
AOD,0.81,350,-13.152379543441443,-37.713604682523524,6.533633529831256
AOD,0.81,360,-13.046523234224262,-37.71361206021987,8.733876937874527
AOD,0.91,320,-16.763747865788442,-44.50610989362695,-0.5377638446111032
AOD,0.91,330,-16.17623413579348,-44.50611830546778,2.062838996456441
AOD,0.91,340,-15.67987710261956,-44.506111673658324,5.180643938878473
AOD,0.91,350,-15.567683227488287,-44.506119457059874,7.6266985962803435
AOD,0.91,360,-15.458633274173476,-44.50610908307981,10.189539468804139
AOD,1.01,320,-19.212595686825697,-50.55787840667132,-0.8793390423726949
AOD,1.01,330,-18.57889349733072,-50.55787608111116,2.009507025142147
AOD,1.01,340,-18.048533412042072,-50.557861999132065,5.477311816363223
AOD,1.01,350,-17.932627270811402,-50.55787574334057,8.216763254786065
AOD,1.01,360,-17.821697067947564,-50.5578608320192,11.083495319233794
AOD,1.11,320,-21.60143623743588,-55.94968061414544,-1.5117393400095325
AOD,1.11,330,-20.925639176200047,-55.94966406509351,1.623191151107759
AOD,1.11,340,-20.364595764425236,-55.9496600607551,5.387050038889241
AOD,1.11,350,-20.2461745183387,-55.94965471310381,8.370442686032034
AOD,1.11,360,-20.134423238320142,-55.94967638814285,11.489528514185237
AOD,1.2100000000000002,320,-23.930499179124162,-60.75348390624237,-2.3933662966312035
AOD,1.2100000000000002,330,-23.216486255671693,-60.7534985677612,0.9502314275315055
AOD,1.2100000000000002,340,-22.627760499508987,-60.753471719947925,4.962487320431665
AOD,1.2100000000000002,350,-22.507878417191872,-60.75349568783953,8.14628143525482
AOD,1.2100000000000002,360,-22.396224795642805,-60.75349113311579,11.47226148036691
AOD,1.31,320,-26.200407878833214,-65.0334232740495,-3.487665282305221
AOD,1.31,330,-25.451766567690253,-65.03342404050782,0.03131486739654062
AOD,1.31,340,-24.83817944742335,-65.03341892087371,4.249683599626089
AOD,1.31,350,-24.717753372302504,-65.03340843769861,7.595583831325281
AOD,1.31,360,-24.60691912091386,-65.033423804269,11.088653323646104
AOD,1.4100000000000001,320,-28.411457615641133,-68.84662811217845,-4.761669532625915
AOD,1.4100000000000001,330,-27.63151027879616,-68.84662220397638,-1.0967889739930312
AOD,1.4100000000000001,340,-26.995624862973308,-68.84662230580066,3.2904330367003527
AOD,1.4100000000000001,350,-26.875410450518547,-68.84661970458373,6.764853342800108
AOD,1.4100000000000001,360,-26.766023578200187,-68.84663882902774,10.390087592739679
AOD,1.51,320,-30.56443580042284,-72.24398678893864,-6.186832117532236
AOD,1.51,330,-29.756335803068,-72.24398586785816,-2.4023437306296525
AOD,1.51,340,-29.100582602574924,-72.24398596846521,2.120746129133233
AOD,1.51,350,-28.981195370197376,-72.24398439288336,5.694261492740582
AOD,1.51,360,-28.87375991914674,-72.24398890314679,9.421070497148103
SSA,0.6,320,-20.79053427140215,0.0,-32.950541013722805
SSA,0.6,330,-20.46763567627804,0.0,-33.64493651239157
SSA,0.6,340,-19.863070478939036,0.0,-34.23726835253021
SSA,0.6,350,-19.414174481462076,0.0,-34.97481235123821
SSA,0.6,360,-18.92792471505565,0.0,-35.64085257391789
SSA,0.65,320,-18.63742485147463,0.0,-29.538064913327045
SSA,0.65,330,-18.322251654710165,0.0,-30.118307221907614
SSA,0.65,340,-17.753269358189744,0.0,-30.600679174731514
SSA,0.65,350,-17.34451713012853,0.0,-31.246282577081047
SSA,0.65,360,-16.900358115862364,0.0,-31.82297139370753
SSA,0.7000000000000001,320,-16.38542974917027,0.0,-25.968970682978796
SSA,0.7000000000000001,330,-16.078026963457155,0.0,-26.429227407922376
SSA,0.7000000000000001,340,-15.54846812508617,0.0,-26.80034168099933
SSA,0.7000000000000001,350,-15.183979065601061,0.0,-27.354082392105205
SSA,0.7000000000000001,360,-14.786569259430367,0.0,-27.84276044606423
SSA,0.7500000000000001,320,-14.026806090885586,0.0,-22.230830788462047
SSA,0.7500000000000001,330,-13.726997635848228,0.0,-22.564581025421813
SSA,0.7500000000000001,340,-13.24112082216623,0.0,-22.82324917275304
SSA,0.7500000000000001,350,-12.925429846758895,0.0,-23.285262448760545
SSA,0.7500000000000001,360,-12.579944729054706,0.0,-23.687742272695342
SSA,0.8000000000000002,320,-11.552826739423436,0.0,-18.30986574623182
SSA,0.8000000000000002,330,-11.26024945918935,0.0,-18.509739593199292
SSA,0.8000000000000002,340,-10.822694596122748,0.0,-18.654693874132835
SSA,0.8000000000000002,350,-10.560802711930021,0.0,-19.025368264911993
SSA,0.8000000000000002,360,-10.273023234093808,0.0,-19.343842890133033
SSA,0.8500000000000002,320,-8.953714676420057,0.0,-14.190580137056456
SSA,0.8500000000000002,330,-8.66776714206119,0.0,-14.248140695244592
SSA,0.8500000000000002,340,-8.283624148764373,0.0,-14.278214591160458
SSA,0.8500000000000002,350,-8.081065769028154,0.0,-14.55812881668395
SSA,0.8500000000000002,360,-7.8574303888975985,0.0,-14.795367227808429
SSA,0.9000000000000002,320,-6.21841334083999,0.0,-9.855450617710844
SSA,0.9000000000000002,330,-5.938147732185074,0.0,-9.761213598636125
SSA,0.9000000000000002,340,-5.613129540859625,0.0,-9.675125644184877
SSA,0.9000000000000002,350,-5.476020326510824,0.0,-9.86511918070853
SSA,0.9000000000000002,360,-5.323735226448865,0.0,-10.02448332761041
SSA,0.9500000000000003,320,-3.334488202616574,0.0,-5.284769926823141
SSA,0.9500000000000003,330,-3.0585553666124676,0.0,-5.027709814570361
SSA,0.9500000000000003,340,-2.798866982837734,0.0,-4.824307504524859
SSA,0.9500000000000003,350,-2.7340560095429653,0.0,-4.9254231763737515
SSA,0.9500000000000003,360,-2.6612284467184173,0.0,-5.011050410405219
SSA,1.0000000000000004,320,-0.2877658660010369,0.0,-0.45607490631250336
SSA,1.0000000000000004,330,-0.014283856888741061,0.0,-0.023504746074351317
SSA,1.0000000000000004,340,0.1731470802762336,0.0,0.29844746602294403
SSA,1.0000000000000004,350,0.1580797189079266,0.0,0.2847558931209169
SSA,1.0000000000000004,360,0.1423123791942704,0.0,0.2679214863305518
DOY,0.0,320,-0.5848822361419078,2.8444677569200274,-2.5906469025540955
DOY,0.0,330,-0.30110732319918865,2.844451701703038,-2.3262756283552437
DOY,0.0,340,-0.03402513213776539,2.8444597135831033,-2.117082270378111
DOY,0.0,350,0.03261276504534059,2.8444685618782097,-2.221085586104596
DOY,0.0,360,0.10752345936741659,2.8444518376485783,-2.309140327685576
DOY,100.0,320,-0.9713369318010315,2.4446686788494176,-2.969296710759277
DOY,100.0,330,-0.6886568679710235,2.444703412186683,-2.7059467007568005
DOY,100.0,340,-0.422603983901152,2.444669463329955,-2.497574002095726
DOY,100.0,350,-0.3562195524762267,2.444706987749432,-2.6011580194089734
DOY,100.0,360,-0.2816115448602147,2.4446624697869983,-2.6888677001342653
DOY,200.0,320,-3.8110358258824615,-0.4929699550592677,-5.751660427767161
DOY,200.0,330,-3.536453699941279,-0.4929458676116963,-5.495895595289913
DOY,200.0,340,-3.2780276901717937,-0.49294806885576975,-5.293464618116002
DOY,200.0,350,-3.2135385613535505,-0.49294322233019405,-5.394116896018031
DOY,200.0,360,-3.141072917941194,-0.4929771205985819,-5.479298963339366
DOY,300.0,320,0.6912811306170187,4.164595955779392,-1.3402497674387093
DOY,300.0,330,0.9786779875659448,4.16462235340058,-1.072466024732541
DOY,300.0,340,1.2491975777628284,4.164617387530747,-0.8605880807346894
DOY,300.0,350,1.3167115788424455,4.16464983547513,-0.9659330952106583
DOY,300.0,360,1.3925742417985278,4.164630212915923,-1.0551066454255158
