variable,value,Glob_dif,Dir_dif,Difu_dif
O3,200.0,5.0393819453242115,3.1229959809210195,6.305077699230895
O3,300.0,0.0,0.0,0.0
O3,400.0,3.8208408171278796,2.452388030384785,4.7544288901488105
O3,500.0,6.9189537839739135,4.490662376747114,8.593790648964736
H2O,5.0,5.046454361496477e-06,1.920155856032942e-06,6.062359987149983e-06
H2O,15.0,3.5862665839018867e-06,8.74893355883299e-06,6.032575175752737e-06
H2O,25.0,2.113843719153682e-05,8.87462567103823e-06,3.744769012519185e-05
H2O,35.0,4.883689586232893e-05,2.101342727705792e-06,8.479998475395367e-05
albedo,0.0,7.57866918535704,0.0,13.521943957676951
albedo,0.2,0.0,0.0,0.0
albedo,0.4,7.599113944395798,0.0,12.200773257700753
albedo,0.6000000000000001,15.224238064881273,0.0,23.270596636863143
albedo,0.8,22.883176170075426,0.0,33.367939070077846
albedo,1.0,30.587243436779488,0.0,42.62722395008882
AOD,0.01,3.568290161103888e-10,0.0,0.0
AOD,0.11,0.0,0.0,0.0
AOD,0.21000000000000002,3.568290161103888e-10,0.0,0.0
AOD,0.31000000000000005,0.0,0.0,0.0
AOD,0.41000000000000003,3.586087229922509e-10,0.0,0.0
AOD,0.51,3.586087229922509e-10,0.0,0.0
AOD,0.6100000000000001,3.568290161722887e-11,0.0,0.0
AOD,0.7100000000000001,3.568290161103888e-10,0.0,0.0
AOD,0.81,3.586087229922509e-10,0.0,0.0
AOD,0.91,0.0,0.0,0.0
AOD,1.01,3.568290161722887e-11,0.0,0.0
AOD,1.11,3.568290161103888e-10,0.0,0.0
AOD,1.2100000000000002,3.568290161722887e-11,0.0,0.0
AOD,1.31,3.568290161722887e-11,0.0,0.0
AOD,1.4100000000000001,3.568290161722887e-11,0.0,0.0
AOD,1.51,0.0,0.0,0.0
angstrom,0.0,0.022166049291165606,0.13876428024006657,0.060685398260037264
angstrom,0.2,0.014685656598548995,0.09187229908490521,0.04013048339170184
angstrom,0.4,0.005425769534224249,0.033927408252990274,0.014794327297352281
angstrom,0.6000000000000001,0.006036571507627417,0.03771083160150303,0.016424947068966324
angstrom,0.8,0.020221024838451843,0.12628672864279655,0.05488760319303011
angstrom,1.0,0.03777784375966875,0.23582782237335276,0.10225532059405376
SSA,0.6,0.14228380426392456,0.0,0.24074200580648805
SSA,0.65,0.12195385726185715,0.0,0.2063129790645486
SSA,0.7000000000000001,0.1016244414961686,0.0,0.17189229460510835
SSA,0.7500000000000001,0.08129688758533815,0.0,0.137492019899195
SSA,0.8000000000000002,0.0609698169574576,0.0,0.10309753423612701
SSA,0.8500000000000002,0.04064680079284146,0.0,0.06871867715586713
SSA,0.9000000000000002,0.020322416686593077,0.0,0.03435281475898692
SSA,0.9500000000000003,0.0,0.0,0.0
SSA,1.0000000000000004,0.02031755724090084,0.0,0.03434681450169155
DOY,0.0,2.765774833347327,2.765778623658727,2.765775381728639
DOY,100.0,2.386336505501189,2.386345071661108,2.386340933815662
DOY,200.0,0.4954039691697894,0.4953997084502132,0.49540514384365364
DOY,300.0,3.9981204980687055,3.9981256444005617,3.998121840321011
