variable,value,Glob_dif,Dir_dif,Difu_dif
O3,200.0,3.7249869240974105,2.7366365115654263,4.426895799467063
O3,300.0,-0.0008906953510170555,-0.005159912603224567,0.0022001623042826016
O3,400.0,-2.7451230718301365,-2.0903485205172148,-3.210036801945622
O3,500.0,-4.923120620438588,-3.7832050207260433,-5.732522883803508
H2O,5.0,-0.0008906953510170555,-0.005159912603224567,0.0022001623042826016
H2O,15.0,-0.0008412122759685533,-0.005159912603224567,0.00228478393137217
H2O,25.0,0.0,-0.005159912603224567,0.0036387299647744798
H2O,35.0,0.0005937969006720364,-0.005159912603224567,0.004738811116923477
albedo,0.0,-1.834040693891262,-0.005159912603224567,-3.132692634787434
albedo,0.1,1.9025747528444008,-0.005159912603224567,3.25725566986057
albedo,0.2,5.937028828344704,-0.005159912603224567,10.156710791203752
albedo,0.30000000000000004,10.30682970350237,-0.005159912603224567,17.629562057693335
albedo,0.4,15.055819382817392,-0.005159912603224567,25.750868852556135
albedo,0.5,20.23620251047433,-0.005159912603224567,34.60990699236968
albedo,0.6000000000000001,25.910080345668973,-0.005159912603224567,44.31287661912907
albedo,0.7000000000000001,32.15232078096168,-0.005159912603224567,54.98781025461802
albedo,0.8,39.05387370830617,-0.005159912603224567,66.79024244942377
albedo,0.9,46.72657087732997,-0.005159912603224567,79.91141808076456
AOD,0.01,5.600939782561468,38.814519016899624,-17.9844313130484
AOD,0.11,3.241883662321565,21.08074548224626,-9.425664554792917
AOD,0.21000000000000002,0.9165749992701224,5.613389079456101,-2.4186553454212483
AOD,0.31000000000000005,-1.3633576839545707,-7.877315629947271,3.262332967485836
AOD,0.41000000000000003,-3.597419556601958,-19.644085196949575,7.7975444496251765
AOD,0.51,-5.7790788527645915,-29.907294364672357,11.35469916588462
AOD,0.6100000000000001,-7.912492150747213,-38.85914689842182,14.06309896245424
AOD,0.7100000000000001,-9.999044976651414,-46.667274416188064,16.039521684715055
AOD,0.81,-12.03848991510188,-53.47784663619578,17.388136555612075
AOD,0.91,-14.0307774830236,-59.418371791365544,18.199488716129142
AOD,1.01,-15.97585819734147,-64.60003229414123,18.552784009220378
AOD,1.11,-17.874276371881145,-69.11981781814347,18.51588897981013
AOD,1.2100000000000002,-19.726675286618345,-73.06230088010471,18.147615658724373
AOD,1.31,-21.533846670753967,-76.50125750525972,17.49924475197825
AOD,1.4100000000000001,-23.29653277041387,-79.501001892961,16.61494874891156
AOD,1.51,-25.015624280949062,-82.11766149900824,15.533315111476309
angstrom,0.0,-0.18773878676406267,-1.184551483832376,0.5201691417082328
angstrom,0.2,-0.11202968192773896,-0.7083976088035487,0.3114922093099133
angstrom,0.4,-0.037607137042874335,-0.2381067291576147,0.10484619596169718
angstrom,0.6000000000000001,0.03552884789051321,0.22632115510542594,-0.099853519963505
angstrom,0.8,0.10747723902255668,0.6849217939574274,-0.3025223168386037
angstrom,1.0,0.17818855327817157,1.1377071040556526,-0.5031601946635836
SSA,0.6,-13.614031024898399,-0.005159912603224567,-23.277810263080177
SSA,0.65,-11.861587921775168,-0.005159912603224567,-20.280960726256644
SSA,0.7000000000000001,-10.050903239310543,-0.005159912603224567,-17.184503072188164
SSA,0.7500000000000001,-8.178760577625832,-0.005159912603224567,-13.982877659975069
SSA,0.8000000000000002,-6.241646638392033,-0.005159912603224567,-10.670194824372047
SSA,0.8500000000000002,-4.235751224829816,-0.005159912603224567,-7.23988792711708
SSA,0.9000000000000002,-2.1570167247845378,-0.005159912603224567,-3.685017994788995
SSA,0.9500000000000003,-0.0008906953510170555,-0.005159912603224567,0.0022001623042826016
SSA,1.0000000000000004,2.2374762048262737,-0.005159912603224567,3.8300594636173595
DOY,0.0,2.843544908117359,2.839131680850466,2.8467561568580315
DOY,100.0,2.443771144736513,2.439387412315743,2.4469189688685486
DOY,200.0,-0.4938410890630987,-0.4981043577428072,-0.4907208154816941
DOY,300.0,4.163753350622724,4.159258974583563,4.166938161053574
