variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
O3,200.0,320,12.524205518127221,11.486816035255833,12.968493048678374,-0.9219256231089439
O3,200.0,330,1.2214475490808039,1.092992496288322,1.28293414380997,-0.12690497508466
O3,200.0,340,0.6614207738943075,0.5987073606065928,0.6956523425618152,-0.06230133928724524
O3,200.0,350,0.03076091038125507,0.027789033112414187,0.03258480385758197,-0.0029709633734588815
O3,200.0,360,0.0,0.0,0.0,0.0
O3,300.0,320,0.0,0.0,0.0,0.0
O3,300.0,330,0.0,0.0,0.0,0.0
O3,300.0,340,0.0,0.0,0.0,0.0
O3,300.0,350,0.0,0.0,0.0,0.0
O3,300.0,360,0.0,0.0,0.0,0.0
O3,400.0,320,-11.033038400403857,-10.303289453689587,-11.345508904108167,0.8202471272409861
O3,400.0,330,-1.2035952199392224,-1.081262883942305,-1.2621511007878279,0.12382265960917274
O3,400.0,340,-0.6560885903609519,-0.5951542011964646,-0.6893490942555508,0.06133681299625731
O3,400.0,350,-0.03072154901159287,-0.027789033112428894,-0.03252128572140524,0.0029334170903354195
O3,400.0,360,0.0,0.0,0.0,0.0
O3,500.0,320,-20.783805619091144,-19.545009748955266,-21.31425457627803,1.5638164390719977
O3,500.0,330,-2.3898415841791802,-2.150731351050455,-2.504263625766254,0.24496449653335234
O3,500.0,340,-1.3069286392832156,-1.1867552429828008,-1.3725242376059592,0.12176477501768243
O3,500.0,350,-0.06146277870801684,-0.055578066224843084,-0.06507433051090787,0.005888331615406366
O3,500.0,360,0.0,0.0,0.0,0.0
albedo,0.0,320,-1.894876665149609,0.0,-2.706272648252757,1.931475748399055
albedo,0.0,330,-1.8687885275184943,0.0,-2.763276176863065,1.904377312250494
albedo,0.0,340,-1.7675456544690702,0.0,-2.7323450055484746,1.7993499869724927
albedo,0.0,350,-1.6688236697234655,0.0,-2.6930101784637226,1.697146044625956
albedo,0.0,360,-1.5537007276286385,0.0,-2.617722204159413,1.5782215676081575
albedo,0.1,320,1.9694788760258388,0.0,2.8128199114634658,-1.9314395814656606
albedo,0.1,330,1.941351637390041,0.0,2.8706035333654776,-1.904380907460902
albedo,0.1,340,1.8323055462445683,0.0,2.8324858427426807,-1.799336209089829
albedo,0.1,350,1.7264683955754794,0.0,2.786000729823376,-1.6971673378671839
albedo,0.1,360,1.6035443908908842,0.0,2.701639485610716,-1.578236665368384
albedo,0.2,320,6.150759812066753,0.0,8.784616551640614,-5.794362492511864
albedo,0.2,330,6.059281900024867,0.0,8.959662905246079,-5.713108547855874
albedo,0.2,340,5.706063696382545,0.0,8.820668706764165,-5.398047658620564
albedo,0.2,350,5.364600430928273,0.0,8.65695029737603,-5.091463744927347
albedo,0.2,360,4.9700085080734295,0.0,8.373495671209508,-4.734693822275125
albedo,0.30000000000000004,320,10.689653828199539,0.0,15.267018854898772,-9.657319775153374
albedo,0.30000000000000004,330,10.523937539923885,0.0,15.561349992028001,-9.521862660857868
albedo,0.30000000000000004,340,9.886181928665437,0.0,15.282467951214798,-8.996747138856117
albedo,0.30000000000000004,350,9.272633377969132,0.0,14.96341196561002,-8.485778269748028
albedo,0.30000000000000004,360,8.567192811992909,0.0,14.434101731815572,-7.891143346433215
albedo,0.4,320,15.634011591361146,0.0,22.3285761708542,-13.520253579552486
