variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
O3,200.0,320,17.814252378118496,16.621000783573237,18.05080743403708,-1.0128244846944245
O3,200.0,330,1.7056917289098816,1.5491014198360358,1.7421692712958388,-0.1539641552128971
O3,200.0,340,0.926731149318737,0.8476705630386546,0.9486345398389923,-0.07833463481851796
O3,200.0,350,0.04268108801641767,0.03930709044673624,0.043794778870781835,-0.003372558125184521
O3,200.0,360,0.0,0.0,0.0,0.0
O3,300.0,320,0.0,0.0,0.0,0.0
O3,300.0,330,0.0,0.0,0.0,0.0
O3,300.0,340,0.0,0.0,0.0,0.0
O3,300.0,350,0.0,0.0,0.0,0.0
O3,300.0,360,0.0,0.0,0.0,0.0
O3,400.0,320,-14.984953132245352,-14.252181210243299,-15.13022859329995,0.8619320332104401
O3,400.0,330,-1.672522938790277,-1.5254740809593874,-1.7067808428307507,0.14955011785703703
O3,400.0,340,-0.9167614083570914,-0.840542266604733,-0.9379134864597606,0.0769243545484808
O3,400.0,350,-0.042648556699321674,-0.03928040538873808,-0.04375175845931599,0.0033695883914004634
O3,400.0,360,0.0,0.0,0.0,0.0
O3,500.0,320,-27.637566668982046,-26.473086444410267,-27.86842745477054,1.6092330937033716
O3,500.0,330,-3.312834902790607,-3.0276773913015766,-3.379310586170594,0.29492798884147287
O3,500.0,340,-1.8237279834887221,-1.6739884915105496,-1.865195261651773,0.15252106125296208
O3,500.0,350,-0.08529711339864335,-0.0785608107774572,-0.08750351691863198,0.006742053398109623
O3,500.0,360,0.0,0.0,0.0,0.0
albedo,0.0,320,-1.894797707394279,0.0,-2.2704790706677573,1.9313937111539792
albedo,0.0,330,-1.8687686574444413,0.0,-2.304403475327398,1.9043566781720784
albedo,0.0,340,-1.7675826001784136,0.0,-2.2571837758299185,1.7993882742232334
albedo,0.0,350,-1.6688240351780532,0.0,-2.206904087713453,1.6971464225904012
albedo,0.0,360,-1.5536943891844532,0.0,-2.128913547412533,1.5782150275162359
albedo,0.1,320,1.96951577809109,0.0,2.359918402356198,-1.9314750718020472
albedo,0.1,330,1.9413497746473263,0.0,2.393858773486948,-1.904379114990038
albedo,0.1,340,1.8322984625609877,0.0,2.3398252289614945,-1.7993293780309252
albedo,0.1,350,1.7264695290538792,0.0,2.2831362568284113,-1.6971684331979948
albedo,0.1,360,1.6035383336582871,0.0,2.1972110513396346,-1.5782307978216323
albedo,0.2,320,6.150817862499979,0.0,7.370073118228289,-5.794414010514078
albedo,0.2,330,6.0592816739774005,0.0,7.471638952292551,-5.713108346899249
albedo,0.2,340,5.706050058594091,0.0,7.286563929194589,-5.398035453440137
albedo,0.2,350,5.364609375330406,0.0,7.094323972952207,-5.091471801713394
albedo,0.2,360,4.969998343421842,0.0,6.810024466576403,-4.7346845973664875
albedo,0.30000000000000004,320,10.689659056562325,0.0,12.808618838294203,-9.657324042438256
albedo,0.30000000000000004,330,10.523942722643275,0.0,12.97696733853648,-9.521866903583785
albedo,0.30000000000000004,340,9.886170045301101,0.0,12.624531735658133,-8.996737297537516
albedo,0.30000000000000004,350,9.272629028149685,0.0,12.262409022584858,-8.485774626838136
albedo,0.30000000000000004,360,8.56717717616463,0.0,11.738974974991066,-7.891130080929757
albedo,0.4,320,15.634099224846956,0.0,18.733187244592614,-13.520319118365704
albedo,0.4,330,15.38098878469197,0.0,18.966141716439402,-13.330609268216477
albedo,0.4,340,14.410508456789037,0.0,18.402062730670167,-12.595441320175281
albedo,0.4,350,13.481726020596874,0.0,17.82864798032075,-11.88008544930833
albedo,0.4,360,12.419674284482852,0.0,17.017769403521747,-11.047598530711209
albedo,0.5,320,21.040833988837345,0.0,25.211690143553955,-17.38325265569286
albedo,0.5,330,20.684554163570024,0.0,25.505914548099827,-17.139354996112573
albedo,0.5,340,19.32338691340317,0.0,24.675755141861874,-16.194132108759845
albedo,0.5,350,18.02807517727128,0.0,23.840879543708315,-15.274395647132403
albedo,0.5,360,16.55560751705323,0.0,22.6849757543861,-14.204042061752366
albedo,0.6000000000000001,320,26.97791686769834,0.0,32.325671191458554,-21.24614856913061
albedo,0.6000000000000001,330,26.499167232782817,0.0,32.675855118286606,-20.948096191035987
albedo,0.6000000000000001,340,24.677137809805323,0.0,31.512436868630473,-19.792833107422016
albedo,0.6000000000000001,350,22.95390214775008,0.0,30.354944206828378,-18.66870570741794
albedo,0.6000000000000001,360,21.007522037620454,0.0,28.785067755141398,-17.360509234367555
albedo,0.7000000000000001,320,33.52757528596559,0.0,40.17365761989476,-25.109102156735943
albedo,0.7000000000000001,330,32.90244650867443,0.0,40.571630291094976,-24.756840353971146
albedo,0.7000000000000001,340,30.53388837388276,0.0,38.991443705982256,-23.39154127273511
albedo,0.7000000000000001,350,28.308784659271872,0.0,37.436405076752706,-22.06301363889212
albedo,0.7000000000000001,360,25.81300604431126,0.0,35.369710458758355,-20.516961525599307
albedo,0.8,320,40.78958978277315,0.0,48.87520930007088,-28.972021188291098
albedo,0.8,330,39.98854169068594,0.0,49.309466338999286,-28.565582016736276
albedo,0.8,340,36.96797439350742,0.0,47.2077016473792,-26.990232247502508
albedo,0.8,350,34.151344145224996,0.0,45.16278493494024,-25.45732535356083
albedo,0.8,360,31.015951528229998,0.0,42.498925318688194,-23.67341622637988
albedo,0.9,320,48.886926027232676,0.0,58.57766718333477,-32.834935431664995
albedo,0.9,330,47.872851788720126,0.0,59.031485640346844,-32.37433457841238
albedo,0.9,340,44.06926346352298,0.0,56.275970635034795,-30.58894201585262
