variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
O3,200.0,310,9.358609999999999,1.374663,7.983939999999999,0.004100651380452347
O3,200.0,320,14.051599999999993,2.929350000000003,11.12227999999999,0.005636726161302424
O3,200.0,330,-7.34820000000002,0.8254499999999965,-8.173699999999997,0.0075237262531859805
O3,200.0,340,-8.841999999999985,0.5256100000000004,-9.367599999999982,0.008212399768714934
O3,200.0,350,-12.163699999999949,0.029460000000000264,-12.193100000000015,0.009368651173926712
O3,200.0,360,-13.496299999999962,0.0,-13.49630000000002,0.010284878840264022
O3,300.0,310,-0.7923100000000005,0.0,-0.7923200000000001,0.00653745810449205
O3,300.0,320,-4.926600000000008,0.0,-4.9265900000000045,0.007312289571206471
O3,300.0,330,-12.15640000000002,0.0,-12.15640000000002,0.007814763492845656
O3,300.0,340,-11.491199999999992,0.0,-11.491199999999992,0.00838231384355484
O3,300.0,350,-12.294899999999984,0.0,-12.294900000000013,0.009376874034654592
O3,300.0,360,-13.496299999999962,0.0,-13.49630000000002,0.010284878840264022
O3,400.0,310,-7.006960000000001,-0.863799,-6.143167,0.008247437375174749
O3,400.0,320,-20.890640000000005,-2.5118599999999986,-18.37879000000001,0.008738224467623734
O3,400.0,330,-16.871100000000013,-0.8128600000000006,-16.0582,0.008097456912178919
O3,400.0,340,-14.111899999999991,-0.5211899999999972,-13.590800000000002,0.008549168907934002
O3,400.0,350,-12.425999999999988,-0.029440000000008126,-12.396600000000007,0.009385089654674855
O3,400.0,360,-13.496299999999962,0.0,-13.49630000000002,0.010284878840264022
O3,500.0,310,-10.840661,-1.4065875,-9.434083000000001,0.009408285218952817
O3,500.0,320,-34.36995,-4.6657199999999985,-29.704250000000002,0.009974519928551723
O3,500.0,330,-21.495000000000005,-1.6133200000000016,-19.881699999999995,0.008372263565847138
O3,500.0,340,-16.704600000000028,-1.0379799999999975,-15.666599999999988,0.008713144198179423
O3,500.0,350,-12.557099999999991,-0.05888000000000204,-12.4983,0.00939331228836432
O3,500.0,360,-13.496299999999962,0.0,-13.49630000000002,0.010284878840264022
albedo,0.0,310,-1.0980699999999999,0.0,-1.0980800000000013,0.009232534569204198
albedo,0.0,320,-6.945200000000014,0.0,-6.945260000000005,0.01050748546292582
albedo,0.0,330,-17.424300000000017,0.0,-17.42440000000002,0.011414554042641384
albedo,0.0,340,-16.544100000000014,0.0,-16.544099999999986,0.012285330620242979
albedo,0.0,350,-17.424799999999948,0.0,-17.424800000000005,0.013514800839701774
albedo,0.0,360,-18.795399999999972,0.0,-18.79540000000003,0.014549115991646433
albedo,0.1,310,-0.4747000000000021,0.0,-0.47470999999999997,0.003842367601656266
albedo,0.1,320,-2.828400000000002,0.0,-2.828400000000002,0.004116959080722016
albedo,0.1,330,-6.683900000000051,0.0,-6.683899999999994,0.00421493053090824
albedo,0.1,340,-6.253300000000024,0.0,-6.253299999999996,0.004479424817408345
albedo,0.1,350,-6.987799999999993,0.0,-6.987800000000021,0.005238893564065095
albedo,0.1,360,-8.027199999999993,0.0,-8.027200000000022,0.0060205990785142105
albedo,0.2,310,0.19890999999999792,0.0,0.1989099999999997,-0.001547650592223393
albedo,0.2,320,1.6260999999999939,0.0,1.6260999999999939,-0.002273683363464424
albedo,0.2,330,4.924199999999985,0.0,4.924199999999985,-0.0029846805781398034
albedo,0.2,340,4.8204000000000065,0.0,4.8204000000000065,-0.0033264558743256456
albedo,0.2,350,4.195700000000045,0.0,4.195699999999988,-0.0030369857036789127
albedo,0.2,360,3.4546000000000276,0.0,3.454599999999971,-0.002507939380420765
albedo,0.30000000000000004,310,0.9291299999999971,0.0,0.9291199999999993,-0.006937813279303456
albedo,0.30000000000000004,320,6.461499999999987,0.0,6.461479999999995,-0.008664277985785618
albedo,0.30000000000000004,330,17.509699999999953,0.0,17.50970000000001,-0.010184347119581522
albedo,0.30000000000000004,340,16.769900000000007,0.0,16.769900000000007,-0.011132327388006569
albedo,0.30000000000000004,350,16.208800000000053,0.0,16.208799999999997,-0.011312863646545629
albedo,0.30000000000000004,360,15.723300000000052,0.0,15.723299999999995,-0.011036455370099646
albedo,0.4,310,1.7233699999999992,0.0,1.7233599999999978,-0.012327865288640702
albedo,0.4,320,11.729,0.0,11.728979999999993,-0.0150550133004205
albedo,0.4,330,31.201299999999947,0.0,31.201300000000003,-0.01738398305331415
albedo,0.4,340,29.703399999999988,0.0,29.703400000000016,-0.018938203627115457
albedo,0.4,350,29.147400000000005,0.0,29.147400000000005,-0.019588761088278006
albedo,0.4,360,28.86280000000005,0.0,28.862799999999993,-0.019565033413046995
albedo,0.5,310,2.59046,0.0,2.590449999999999,-0.017717954352612864
albedo,0.5,320,17.48899999999999,0.0,17.488979999999998,-0.021445646808840674
albedo,0.5,330,46.15159999999997,0.0,46.15159999999997,-0.02458362534459732
albedo,0.5,340,43.74759999999998,0.0,43.747600000000006,-0.026744051160506738
albedo,0.5,350,43.12270000000001,0.0,43.12270000000001,-0.02786465700701868
albedo,0.5,360,42.96900000000005,0.0,42.96909999999997,-0.028093544127134662
albedo,0.6000000000000001,310,3.540899999999997,0.0,3.540889999999999,-0.02310805457876644
albedo,0.6000000000000001,320,23.814000000000007,0.0,23.81398,-0.027836218074282548
albedo,0.6000000000000001,330,62.54249999999996,0.0,62.54250000000002,-0.03178325906723764
albedo,0.6000000000000001,340,59.052099999999996,0.0,59.052100000000024,-0.03454992084037123
albedo,0.6000000000000001,350,58.2645,0.0,58.2645,-0.0361405525904174
albedo,0.6000000000000001,360,58.152900000000045,0.0,58.15289999999999,-0.03662211871925958
albedo,0.7000000000000001,310,4.587309999999999,0.0,4.587300000000001,-0.028498141631773166
albedo,0.7000000000000001,320,30.791600000000003,0.0,30.791579999999996,-0.03422688475282547
albedo,0.7000000000000001,330,80.59279999999995,0.0,80.59269999999998,-0.038982898400287375
albedo,0.7000000000000001,340,75.79449999999997,0.0,75.7945,-0.04235580606527353
albedo,0.7000000000000001,350,74.72520000000003,0.0,74.72519999999997,-0.044416442983418014
albedo,0.7000000000000001,360,74.54270000000002,0.0,74.5428,-0.04515065310282798
albedo,0.8,310,5.744999999999997,0.0,5.74499,-0.03388822151107551
albedo,0.8,320,38.52809999999998,0.0,38.52808,-0.0406174942636615
albedo,0.8,330,100.56789999999995,0.0,100.56790000000001,-0.046182533007285226
albedo,0.8,340,94.1873,0.0,94.18730000000002,-0.05016165400251024
albedo,0.8,350,92.685,0.0,92.685,-0.052692342600479586
albedo,0.8,360,92.28810000000004,0.0,92.28819999999996,-0.05367919399684484
albedo,0.9,310,7.032729999999997,0.0,7.032719999999999,-0.03927834216835886
albedo,0.9,320,47.1545,0.0,47.15447999999999,-0.047008095853182996
albedo,0.9,330,122.79309999999998,0.0,122.793,-0.05338218821640936
albedo,0.9,340,114.48739999999998,0.0,114.48740000000001,-0.05796754270452778
albedo,0.9,350,112.35840000000002,0.0,112.35839999999996,-0.06096822819772807
albedo,0.9,360,111.56460000000004,0.0,111.56459999999998,-0.062207767827820226
AOD,0.01,310,1.955009999999998,2.7457450000000003,-0.7907400000000013,0.1296413609038231
AOD,0.01,320,13.041899999999998,20.81942,-7.777540000000002,0.1506574818127762
AOD,0.01,330,35.37949999999995,62.94566999999999,-27.566100000000006,0.17161411947638985
AOD,0.01,340,37.252099999999984,73.2472,-35.99509999999998,0.19568905192438818
AOD,0.01,350,41.50170000000003,88.53528999999999,-47.03360000000001,0.2181817010378803
