variable,value,Glob_dif,Dir_dif,Difu_dif
O3,200.0,3.93571157065025,2.5515606338793924,4.475601222948475
O3,300.0,-0.001167001207007825,-0.007278798790230689,0.0012977055985588346
O3,400.0,-2.8847436265062627,-1.9693161494263136,-3.241761278481013
O3,500.0,-5.1677314163393415,-3.573801077856406,-5.789354341642087
H2O,5.0,-0.001167001207007825,-0.007278798790230689,0.0012977055985588346
H2O,15.0,-0.001167001207007825,-0.007278798790230689,0.0012977055985588346
H2O,25.0,-0.0004167861453556053,-0.007278798790230689,0.002270984797493768
H2O,35.0,-0.0015004301233044392,-0.007278798790230689,0.0007878926848370343
albedo,0.0,-1.8281907480144284,-0.007278798790230689,-2.5382889774856157
albedo,0.1,1.895626746333948,-0.007278798790230689,2.63784153554723
albedo,0.2,5.915279046660051,-0.007278798790230689,8.225136163497918
albedo,0.30000000000000004,10.267693405442898,-0.007278798790230689,14.274981730738373
albedo,0.4,14.996382296258272,-0.007278798790230689,20.84779106754476
albedo,0.5,20.15269377221471,-0.007278798790230689,28.01518130163811
albedo,0.6000000000000001,25.79814546836761,-0.007278798790230689,35.86236070955297
albedo,0.7000000000000001,32.00650853244597,-0.007278798790230689,44.49198707346183
albedo,0.8,38.86747534293164,-0.007278798790230689,54.028732824084294
albedo,0.9,46.49116079942919,-0.007278798790230689,64.62565770210865
AOD,0.01,7.504484618924097,58.82175558684945,-12.509163597457754
AOD,0.11,4.252802470041416,30.97238809960962,-6.167751390196095
AOD,0.21000000000000002,1.1882573004261312,8.008045300866915,-1.4714475222339354
AOD,0.31000000000000005,-1.7465840207526062,-10.928477631805677,1.8344111434906671
AOD,0.41000000000000003,-4.554555639283256,-26.543848078100034,4.0212420502496995
AOD,0.51,-7.225988116593415,-39.42072645382865,5.330024493034498
AOD,0.6100000000000001,-9.778969971391794,-50.039543188529805,5.922624071952209
AOD,0.7100000000000001,-12.224004214541495,-58.7964134833063,5.939274098248127
AOD,0.81,-14.566342351474082,-66.01787316470289,5.499803779961495
AOD,0.91,-16.812227838647072,-71.97329126484726,4.700614104414541
AOD,1.01,-18.966770474202598,-76.88466520496503,3.621235886148115
AOD,1.11,-21.03571357122375,-80.93509094042079,2.3250713129779674
AOD,1.2100000000000002,-23.024808778516505,-84.27554561281543,0.8630089830194084
AOD,1.31,-24.939057529825213,-87.03051153615334,-0.7233550046306109
AOD,1.4100000000000001,-26.783094487086295,-89.3026405699448,-2.400454104266252
AOD,1.51,-28.561262561934413,-91.17658960052765,-4.141256644803043
angstrom,0.0,-0.24673739805411188,-1.789039614491044,0.35479502798002954
angstrom,0.2,-0.1469587948545183,-1.0711123787114412,0.2135536775644255
angstrom,0.4,-0.04918076515267407,-0.3601371385110799,0.07211535397759117
angstrom,0.6000000000000001,0.04642997659328765,0.3438266873443931,-0.06950835612331999
angstrom,0.8,0.1397900731543079,1.0407493894721815,-0.21157235919517942
angstrom,1.0,0.23089952453037144,1.7305418397238155,-0.3539492020095514
SSA,0.6,-16.51506765272711,-0.007278798790230689,-22.953063494765207
SSA,0.65,-14.412631621064694,-0.007278798790230689,-20.030665246760464
SSA,0.7000000000000001,-12.232673366365026,-0.007278798790230689,-17.000511087446004
SSA,0.7500000000000001,-9.970691598258163,-0.007278798790230689,-13.856436915228663
SSA,0.8000000000000002,-7.622018311916076,-0.007278798790230689,-10.591768815601483
SSA,0.8500000000000002,-5.181402001907215,-0.007278798790230689,-7.199265127858186
SSA,0.9000000000000002,-2.6431743766546423,-0.007278798790230689,-3.671093271778828
SSA,0.9500000000000003,-0.001167001207007825,-0.007278798790230689,0.0012977055985588346
SSA,1.0000000000000004,2.751288702761469,-0.007278798790230689,3.827188716635201
DOY,0.0,2.8433150836573184,2.8369489652221898,2.845775684403562
DOY,100.0,2.4435338130264115,2.4372092194156716,2.4460012534445634
DOY,200.0,-0.49405829671171253,-0.500187169111756,-0.49166820865761146
DOY,300.0,4.163443520475879,4.157055681325275,4.165970984461471
