variable,value,WL,Glob_dif,Dir_dif,Difu_dif,DGR_dif
AOD,0.01,360,58.68390000000011,204.48999999999995,-145.80630000000002,0.21443118203019906
AOD,0.11,310,3.5012100000000004,9.785539999999997,-6.284330000000004,0.11573328316177367
AOD,0.11,320,15.084099999999978,44.7394,-29.655299999999983,0.12246070523502128
AOD,0.11,330,33.011999999999944,103.28089999999997,-70.26889999999997,0.12981572145871
AOD,0.11,340,33.17560000000003,109.98560000000003,-76.81,0.13884973264880035
AOD,0.11,350,34.9738000000001,122.8485,-87.87459999999999,0.1471354855755978
AOD,0.11,360,38.73930000000007,142.98649999999998,-104.24740000000003,0.15498688033975971
AOD,0.21000000000000002,310,1.3902800000000042,6.035450000000001,-4.64517,0.07721166919403127
AOD,0.21000000000000002,320,6.219200000000001,27.59400000000001,-21.374799999999993,0.08134279415246187
AOD,0.21000000000000002,330,14.330499999999915,63.70079999999996,-49.370299999999986,0.08576217704178302
AOD,0.21000000000000002,340,15.119299999999953,67.83610000000004,-52.7167,0.09126292207509484
AOD,0.21000000000000002,350,16.122400000000084,75.76959999999997,-59.6472,0.09657015652739437
AOD,0.21000000000000002,360,18.106700000000046,88.1902,-70.08360000000005,0.10156295232172063
AOD,0.31000000000000005,310,-0.6731499999999926,2.694320000000001,-3.3674700000000044,0.041954331601738226
AOD,0.31000000000000005,320,-2.4558999999999855,12.318399999999997,-14.774299999999982,0.04374114879067709
AOD,0.31000000000000005,330,-3.978900000000067,28.437099999999987,-32.416,0.04551613513358144
AOD,0.31000000000000005,340,-2.608600000000024,30.28309999999999,-32.89169999999996,0.04783115020528267
AOD,0.31000000000000005,350,-2.407600000000002,33.82470000000001,-36.23230000000001,0.05044219328805183
AOD,0.31000000000000005,360,-2.2036999999999125,39.36949999999996,-41.57330000000002,0.05285430403743785
AOD,0.41000000000000003,310,-2.7053999999999974,-0.28245000000000076,-2.42295,0.009761961133092467
AOD,0.41000000000000003,320,-11.011700000000019,-1.2913999999999959,-9.72029999999998,0.009436629652370188
AOD,0.41000000000000003,330,-22.073100000000068,-2.9811000000000263,-19.091999999999985,0.008837377870818397
AOD,0.41000000000000003,340,-20.179200000000037,-3.174599999999998,-17.004599999999982,0.008297338372636354
AOD,0.41000000000000003,350,-20.808599999999956,-3.5459000000000174,-17.262800000000027,0.008482415007266986
AOD,0.41000000000000003,360,-22.41089999999997,-4.127100000000041,-18.283900000000017,0.008575431914226328
AOD,0.51,310,-4.694819999999993,-2.93459,-1.760220000000004,-0.019697861926157467
AOD,0.51,320,-19.399400000000014,-13.41695,-5.9824999999999875,-0.021926759168202636
AOD,0.51,330,-39.843000000000075,-30.973000000000013,-8.869999999999948,-0.02466238465960041
AOD,0.51,340,-37.46730000000002,-32.98369999999997,-4.483599999999967,-0.027775945395272617
AOD,0.51,350,-38.935299999999984,-36.84110000000004,-2.0942000000000007,-0.02978676968641475
AOD,0.51,360,-42.34089999999992,-42.88040000000001,0.5392999999999688,-0.031791007171538654
AOD,0.6100000000000001,310,-6.637339999999995,-5.297509999999999,-1.3398300000000063,-0.046684278385111855
AOD,0.6100000000000001,320,-27.60110000000003,-24.220219999999998,-3.3807999999999936,-0.050629866668888024
AOD,0.6100000000000001,330,-57.24580000000003,-55.912300000000016,-1.33359999999999,-0.05529029142353009
AOD,0.6100000000000001,340,-54.423400000000015,-59.54199999999997,5.118600000000015,-0.060728887099200435
AOD,0.6100000000000001,350,-56.72969999999998,-66.50540000000001,9.775699999999972,-0.06473303679542486
AOD,0.6100000000000001,360,-61.923599999999965,-77.40750000000003,15.483799999999974,-0.0686390740718999
AOD,0.7100000000000001,310,-8.533609999999996,-7.402750000000001,-1.1308700000000016,-0.0714094995447323
AOD,0.7100000000000001,320,-35.61880000000002,-33.845349999999996,-1.7734999999999843,-0.07690333034401542
AOD,0.7100000000000001,330,-74.28480000000002,-78.13190000000003,3.8471000000000117,-0.08329811025343564
AOD,0.7100000000000001,340,-71.04820000000007,-83.20399999999998,12.1558,-0.09083842121341096
